,Author,Document title,Abstract,Year,Original scale name,Category,Item content,tokens,tokens_nouns,tokens_nouns__unique_list,tokens_nouns__unique,qwen_embeddings,qwen_embeddings_raw,group,cluster,dim1,dim2
0,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,the existence of living things not useful to human beings is not important,"['existence', 'live', 'thing', 'useful', 'human', 'important']","['existence', 'thing', 'useful', 'human', 'important']","['important', 'human', 'existence', 'thing', 'useful']",important human existence thing useful,"[ 3.84701228  1.47425854 -0.17256215 ... -0.11779548  0.0047545
  0.80389863]","[ 1.46920228 -1.04770589 -1.07289493 ... -0.65822989 -0.90098095
 -0.08016561]",0.0,6,9.474389,-14.314351
1,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,we have no ethical responsibilities for the creatures that do not have spirits and intelligence,"['ethical', 'responsibility', 'creature', 'spirit', 'intelligence']","['ethical', 'responsibility', 'creature', 'spirit', 'intelligence']","['intelligence', 'ethical', 'creature', 'spirit', 'responsibility']",intelligence ethical creature spirit responsibility,"[ 3.80667043 -0.12091381 -0.42214108 ...  0.39795208 -0.523081
  2.6625874 ]","[ 1.61887681 -0.93693835  0.02447898 ...  1.24841774 -1.4105798
 -0.23967706]",0.0,3,30.795172,3.2593129
2,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,we need to protect natural entities to maintain the well-being of human beings,"['need', 'protect', 'natural', 'entity', 'maintain', 'well', 'human']","['natural', 'entity', 'well', 'human']","['human', 'entity', 'well', 'natural']",human entity well natural,"[-0.02205959  1.96805215  1.49052775 ... -0.01446213 -0.63672698
 -0.33721492]","[ 4.18431091  0.4206382  -0.35702586 ...  3.71086979  0.61085874
  0.40685582]",0.0,3,25.128836,-0.6793212
3,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,all the creatures on earth are created by the god,"['creature', 'earth', 'create', 'god']","['creature', 'earth', 'god']","['earth', 'creature', 'god']",earth creature god,"[ 0.18988258  3.05474544  0.85680479 ...  1.57288718 -0.42913404
  1.41581547]","[-0.77407515  2.41198039  2.03092813 ...  0.6223042  -0.9912734
  0.2000545 ]",0.0,0,36.06902,1.5329963
4,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,people should protect the living things in the universe because of their responsibility towards god,"['people', 'protect', 'live', 'thing', 'universe', 'responsibility', 'god']","['people', 'thing', 'universe', 'responsibility', 'god']","['universe', 'god', 'people', 'thing', 'responsibility']",universe god people thing responsibility,"[ 3.21546531  0.80586922  0.28083009 ... -1.33162725  1.97507846
  0.00417652]","[ 0.58739746  1.32299423  2.88987613 ... -0.12583219  0.10158957
  1.33022964]",0.0,0,36.06924,1.5378562
5,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,all the creatures on the earth were created for the human beings,"['creature', 'earth', 'create', 'human']","['creature', 'earth', 'human']","['earth', 'creature', 'human']",earth creature human,"[ 1.59039128  1.39678717  1.35071027 ...  1.29215193 -1.19581246
  2.29242611]","[ 3.75370288 -0.5298335   0.22742778 ...  1.0800817   0.21959712
  0.11293627]",0.0,3,24.51543,-4.3644543
6,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,"if we adopt thrifty life, there will be no environmental problems","['adopt', 'thrifty', 'life', 'environmental', 'problem']","['thrifty', 'life', 'environmental', 'problem']","['problem', 'thrifty', 'environmental', 'life']",problem thrifty environmental life,"[ 3.11928678  0.8238219   0.01482545 ... -0.08916539 -0.26223624
 -0.62266737]",[2.80160475 2.42147899 2.38025928 ... 0.22160181 1.1412884  0.60571444],0.0,1,-21.335466,1.5021576
7,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,we should love and protect all the living things because god created them,"['love', 'protect', 'live', 'thing', 'god', 'create']","['thing', 'god']","['thing', 'god']",thing god,"[ 0.32557195  0.70719939  0.54019803 ...  0.05303277 -2.18668962
  0.83807445]","[ 2.516541    0.41854331 -0.03716459 ... -1.02299976 -0.52073503
 -0.02039652]",0.0,3,27.986654,3.2538207
8,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,technological advancement isolated human beings from nature,"['technological', 'advancement', 'isolate', 'human', 'nature']","['technological', 'advancement', 'human', 'nature']","['advancement', 'nature', 'human', 'technological']",advancement nature human technological,"[ 1.37021053  0.52882022 -0.36922696 ... -0.85473359  1.13301647
  0.91023606]","[ 1.66678846  0.03661955 -0.51191866 ...  1.09117305 -0.11002157
 -0.62366706]",0.0,7,45.096767,13.26777
9,"Ozdemir, O",THE ENVIRONMENTALISM OF UNIVERSITY STUDENTS: THEIR ETHICAL ATTITUDES TOWARD THE ENVIRONMENT,"The study tries to determine the environmentalism of university students based on their attitudes towards the environment. The present study was carried out among 220 senior students studying in various departments in 2007-2008 academic year. The data were collected through an Environmental Ethics scale developed by the researcher and were analyzed through proper statistics from SPSS program package. In light of the findings, it can be argued that the participants mostly exhibit a mild environmentalism tendency that pays attention to both the instrumental and intrinsic values of non-human entities.",2012,,environmentalism,we need to limit technology to protect the environment,"['need', 'limit', 'technology', 'protect', 'environment']","['technology', 'environment']","['technology', 'environment']",technology environment,"[ 1.36578929  1.64966667 -0.81201303 ... -0.62602901  0.46451366
  0.44157621]","[ 3.38929343  1.99921656  0.03113266 ... -0.63785863  3.35180354
  0.8891539 ]",0.0,2,-47.839436,-6.7660847
