,Author,Document title,Abstract,Year,Original scale name,Category,Item content,tokens,tokens_nouns,tokens_nouns__unique_list,tokens_nouns__unique,qwen_embeddings,qwen_embeddings_raw,group,cluster,dim1,dim2
0,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,women have the right to compete with men in every sphere of activity,"['woman', 'right', 'compete', 'man', 'sphere', 'activity']","['woman', 'right', 'man', 'sphere', 'activity']","['sphere', 'woman', 'right', 'activity', 'man']",sphere woman right activity man,"[ 5.53745079  1.93306935 -2.59700751 ...  1.12020969 -2.30271173
 -2.23125505]","[ 0.87179065  2.36838865  0.01528655 ...  1.23515487 -1.73895037
  0.81103975]",0.0,6,0.024543684,-7.0138125
1,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,"as head of the household, the father should have final authority over his children","['head', 'household', 'father', 'final', 'authority', 'child']","['head', 'household', 'father', 'final', 'authority', 'child']","['father', 'child', 'head', 'authority', 'final', 'household']",father child head authority final household,"[ 3.09801197  1.6093477   0.70020193 ...  0.13470745 -1.90538609
  2.66543484]","[ 2.60221124  0.002913    1.82239187 ...  1.01300192 -1.97987854
 -0.40774372]",0.0,1,4.214427,-22.337458
2,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,the unmarried mother is morally a greater failure than the unmarried father,"['unmarried', 'mother', 'morally', 'great', 'failure', 'unmarried', 'father']","['unmarried', 'mother', 'great', 'failure', 'unmarried', 'father']","['great', 'father', 'unmarried', 'failure', 'mother']",great father unmarried failure mother,"[ 1.83810186  4.48513365 -1.81186843 ... -3.1321454  -2.99986553
  1.81431091]","[ 2.81359911  1.5905329   0.45868751 ... -1.84533608 -3.55192757
 -1.0289104 ]",0.0,10,-2.070057,-36.068974
3,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,a woman who refuses to give up her job to move with her husband would be to blame if the marriage broke up,"['woman', 'refuse', 'give', 'job', 'move', 'husband', 'would', 'blame', 'marriage', 'break']","['woman', 'job', 'husband', 'marriage']","['woman', 'job', 'marriage', 'husband']",woman job marriage husband,"[ 3.15101194  2.81263232  2.85453486 ... -1.98863447  0.40261087
  0.77302241]","[ 0.42506865  0.82954717 -0.04194177 ... -0.39567739  1.97433221
  1.43157089]",0.0,1,19.321949,-44.979137
4,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,a woman who refuses to bear children has failed in her duty to her husband,"['woman', 'refuse', 'bear', 'child', 'fail', 'duty', 'husband']","['woman', 'child', 'duty', 'husband']","['woman', 'child', 'husband', 'duty']",woman child husband duty,"[ 4.09245062  0.9961592   1.26270187 ...  0.04196403 -2.99317598
  1.74776876]","[ 1.5195868   0.43857425  3.62018061 ...  0.95643985 -0.40970924
  0.71252066]",0.0,1,9.925473,-47.6485
5,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,women should not be permitted to hold political offices that involve great responsibility,"['woman', 'permit', 'hold', 'political', 'office', 'involve', 'great', 'responsibility']","['woman', 'political', 'office', 'great', 'responsibility']","['great', 'woman', 'political', 'office', 'responsibility']",great woman political office responsibility,"[ 2.62634802 -0.38125274 -1.85565364 ... -1.29126561 -1.59050679
  1.9806118 ]","[ 2.13880539  2.04974699 -1.36254299 ...  0.03252365 -0.6007157
  1.12109292]",0.0,6,22.462023,-5.5551424
6,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,a woman should be expected to change her name when she marries,"['woman', 'expect', 'change', 'name', 'marry']","['woman', 'name']","['woman', 'name']",woman name,"[ 3.86240625  0.46857256  1.58656943 ...  1.59005964 -3.3089354
  2.12701797]","[ 2.67852879  1.66081071  0.51505905 ...  0.3271057  -2.58658838
  2.66243196]",0.0,11,35.044525,-30.508461
7,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,"whether or not they realize it, most women are exploited by men","['realize', 'woman', 'exploit', 'man']","['woman', 'man']","['woman', 'man']",woman man,"[ 0.09513313  0.94766468  3.94908977 ...  0.07394341 -0.90242815
 -1.36742556]","[-1.02975631 -0.15708229  2.35179758 ... -0.33635774  0.56714058
  0.50303459]",0.0,0,-24.597017,-8.955691
8,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,women who join the women's movement are typically frustrated and unattractive people who feel they lose out by the current rules of society,"['woman', 'join', 'woman', 'movement', 'typically', 'frustrated', 'unattractive', 'people', 'feel', 'lose', 'current', 'rule', 'society']","['woman', 'woman', 'movement', 'frustrated', 'unattractive', 'people', 'current', 'rule', 'society']","['society', 'current', 'woman', 'movement', 'rule', 'unattractive', 'frustrated', 'people']",society current woman movement rule unattractive frustrated people,"[ 1.95829487  3.787292    0.47501323 ... -0.0855826   0.764615
  1.45679259]","[-0.00916263  1.75897264  0.30872244 ... -0.47916669  0.4438343
 -0.61917204]",0.0,9,-10.560351,30.159985
9,"Hutchinson, Roger L.;Schechterman, Andrew L.",Perceived impact of the women's movement: Views of Midwestern university men and women.,"Results of questionnaires administered to 99 female and 60 male undergraduates assessing attitudes toward feminism, religiosity, and the women's movement (WM) show that most Ss had liberal attitudes toward the WM, although women were more committed to the WM than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1990,FEM scale,feminism,a working woman who sends her six month old baby to a daycare center is a bad mother,"['work', 'woman', 'send', 'six', 'month', 'old', 'baby', 'daycare', 'center', 'bad', 'mother']","['woman', 'month', 'old', 'baby', 'daycare', 'center', 'bad', 'mother']","['old', 'woman', 'center', 'daycare', 'month', 'baby', 'bad', 'mother']",old woman center daycare month baby bad mother,"[ 0.65663481 -0.66385669  0.79783529 ... -1.85166562 -1.07467949
  2.60844088]","[-0.55321455  0.79090852  1.63617361 ... -2.00492954  0.02002003
  0.12067168]",0.0,10,1.5379195,-35.227398
